Tanggal,RH_avg
24-11-2011,81
25-11-2011,82
26-11-2011,86
27-11-2011,80
28-11-2011,82
29-11-2011,88
30-11-2011,86
01-12-2011,84
02-12-2011,82
03-12-2011,86
04-12-2011,78
05-12-2011,84
06-12-2011,79
07-12-2011,81
08-12-2011,86
09-12-2011,84
10-12-2011,80
11-12-2011,88
12-12-2011,86
13-12-2011,82
14-12-2011,82
15-12-2011,81
16-12-2011,87
17-12-2011,91
18-12-2011,91
19-12-2011,88
20-12-2011,89
21-12-2011,88
22-12-2011,84
23-12-2011,85
24-12-2011,82
25-12-2011,86
26-12-2011,84
27-12-2011,88
28-12-2011,84
29-12-2011,84
30-12-2011,77
31-12-2011,82
01-01-2012,82
02-01-2012,79
03-01-2012,83
04-01-2012,83
05-01-2012,87
06-01-2012,83
07-01-2012,76
08-01-2012,80
09-01-2012,88
10-01-2012,87
11-01-2012,84
12-01-2012,80
13-01-2012,84
14-01-2012,82
15-01-2012,76
16-01-2012,79
17-01-2012,78
18-01-2012,84
19-01-2012,83
20-01-2012,84
21-01-2012,83
22-01-2012,85
23-01-2012,78
24-01-2012,76
25-01-2012,77
26-01-2012,76
27-01-2012,76
28-01-2012,79
29-01-2012,76
30-01-2012,78
31-01-2012,79
01-02-2012,84
02-02-2012,82
03-02-2012,80
04-02-2012,79
05-02-2012,82
06-02-2012,78
07-02-2012,77
08-02-2012,76
09-02-2012,77
10-02-2012,76
11-02-2012,78
12-02-2012,76
13-02-2012,82
14-02-2012,82
15-02-2012,78
16-02-2012,86
17-02-2012,76
18-02-2012,81
19-02-2012,84
20-02-2012,77
21-02-2012,75
22-02-2012,78
23-02-2012,79
24-02-2012,83
25-02-2012,76
26-02-2012,80
27-02-2012,72
28-02-2012,77
29-02-2012,85
01-03-2012,76
02-03-2012,83
03-03-2012,86
04-03-2012,82
05-03-2012,80
06-03-2012,83
07-03-2012,80
08-03-2012,82
09-03-2012,75
10-03-2012,78
11-03-2012,78
12-03-2012,85
13-03-2012,78
14-03-2012,86
15-03-2012,78
16-03-2012,73
17-03-2012,78
18-03-2012,76
19-03-2012,76
20-03-2012,78
21-03-2012,75
22-03-2012,72
23-03-2012,80
24-03-2012,76
25-03-2012,74
26-03-2012,75
27-03-2012,81
28-03-2012,77
29-03-2012,81
30-03-2012,81
31-03-2012,82
01-04-2012,80
02-04-2012,84
03-04-2012,87
04-04-2012,80
05-04-2012,77
06-04-2012,77
07-04-2012,85
08-04-2012,80
09-04-2012,85
10-04-2012,83
11-04-2012,78
12-04-2012,80
13-04-2012,80
14-04-2012,81
15-04-2012,88
16-04-2012,86
17-04-2012,82
18-04-2012,82
19-04-2012,83
20-04-2012,84
21-04-2012,85
22-04-2012,81
23-04-2012,74
24-04-2012,76
25-04-2012,80
26-04-2012,84
27-04-2012,83
28-04-2012,81
29-04-2012,82
30-04-2012,82
01-05-2012,83
02-05-2012,86
03-05-2012,79
04-05-2012,79
05-05-2012,84
